评分,片名,导演,编剧,主演,类型,制片国家/地区,上映日期,短评数,影评数,链接
9.5,英国国家剧院50周年庆典,尼古拉斯·希特纳,,"琼·普莱怀特,阿兰·本奈特,查尔斯·凯,玛吉·史密斯,德里克·雅各比,迈克尔·刚本,朱迪·丹奇,高恩·格兰杰,克里夫·梅利森,奥利弗·科顿,佩内洛普·威尔顿,科林·黑格,朱迪思·科克,弗朗西斯·德·拉·图瓦,海伦·米伦,黛博拉·芬德莱,尼古拉斯·勒·普雷沃斯特,迈克尔·布兰登,蒂姆·皮戈特-史密斯,罗杰·阿拉姆,马尔科姆·辛克莱,斯坦利·汤森德,阿历克斯·杰宁斯,西蒙·拉塞尔·比尔,拉尔夫·费因斯,克里斯托弗·埃克莱斯顿,劳埃德·欧文,艾德里安·莱斯特,艾莉森·吉厄,查尔斯·爱德华兹,本尼迪克特·康伯巴奇,斯蒂芬·坎贝尔·莫尔,罗里·金尼尔,安德鲁·斯科特,多米尼克·库珀,安娜·麦克西维尔·马丁,詹姆斯·柯登,琳赛·马歇尔,杰米·帕克,凯特·弗利特伍德,萨沙·达万,安德鲁·诺,乔纳森·贝利,奥莉维娅·维纳勒",舞台艺术,英国,2013-11-02,全部 345 条,全部 2 条,https://movie.douban.com/subject/25760611/
9.5,星野源巡回演唱会：流行病毒,Naoto Amazutsumi,,星野源,音乐,日本,2019-10-10(日本),全部 189 条,全部 1 条,https://movie.douban.com/subject/34858066/
9.5,宇多田光Laugher in the Dark 2018 巡回演唱会,,,宇多田光,音乐,日本,2019-06-28(日本),全部 284 条,全部 2 条,https://movie.douban.com/subject/34454108/
9.4,羽生结弦×野村万斋　谈表演之精髓,NHK,,"羽生结弦,野村万斋",,日本,2015-12-30(日本),全部 27 条,全部 0 条,https://movie.douban.com/subject/35708584/
9.4,天使在美国第二部：重建,玛丽安娜·埃利奥特,,"安德鲁·加菲尔德,拉塞尔·托维,内森·连恩,内森·斯图尔特-贾瑞特,马克·阿诺德,丹妮斯·高夫,苏珊·布朗,詹姆斯·麦卡德尔","剧情,同性",英国,2017-07-27(英国),全部 778 条,全部 17 条,https://movie.douban.com/subject/27045950/
9.4,空气中的视听与幻觉 Live,,,"苏打绿,吴青峰,谢馨仪,史俊威,何景扬,刘家凯,龚钰祺",音乐,中国台湾,2015-03-20(中国台湾),全部 21 条,全部 0 条,https://movie.douban.com/subject/35196723/
9.4,Funtastic Babii Fanmeeting,,,"巴特潘·忽栓,钟朋·阿卢迪吉朋,那瓦·蓬朴提岸,辛纳拉·西里朋查瓦雷,皮拉帕·瓦塔纳汕西瑞","音乐,真人秀",泰国,2019-09-21(泰国),全部 20 条,全部 0 条,https://movie.douban.com/subject/35248685/
9.4,披头士乐队：回归 - 屋顶演唱会,彼得·杰克逊,,"约翰·列侬,保罗·麦卡特尼,林戈·斯塔尔,乔治·哈里逊,Mal Evans,迈克尔·林赛-霍格,琳达·麦卡特尼,小野洋子,比利·普林斯顿",,美国 / 英国 / 新西兰,2022-01-30(美国),全部 37 条,全部 0 条,https://movie.douban.com/subject/35748761/
9.4,星际穿越,克里斯托弗·诺兰,,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克,迈克尔·凯恩,马特·达蒙,蒂莫西·柴勒梅德,艾伦·伯斯汀,约翰·利思戈,韦斯·本特利,大卫·吉亚西,比尔·欧文,托弗·戈瑞斯,科莱特·沃夫,弗朗西斯·X.麦卡蒂,安德鲁·博尔巴,乔什·斯图沃特,莱雅·卡里恩斯,利亚姆·迪金森,杰夫·赫普内尔,伊莱耶斯·加贝尔,布鲁克·史密斯,大卫·奥伊罗,威廉姆·德瓦内,拉什·费加,格里芬·弗雷泽,弗洛拉·诺兰","剧情,科幻,冒险",美国 / 英国 / 加拿大,"2014-11-12(中国大陆),2020-08-02(中国大陆重映),2014-11-07(美国)",全部 386714 条,全部 6060 条,https://movie.douban.com/subject/1889243/
9.4,夏目友人帐：曾几何时下雪之日,大森贵弘,,"神谷浩史,井上和彦","剧情,动画",日本,2014-02-02(日本),全部 4104 条,全部 16 条,https://movie.douban.com/subject/25736048/
9.4,极品基老伴：完结篇,埃德·拜,,"伊恩·麦克莱恩,德里克·雅各比,弗朗西斯·德·拉·图瓦,伊万·瑞恩,玛西娅·沃伦,菲利普-沃斯,艾琳·阿特金斯,弗兰西斯·巴贝,阿利斯泰尔·布拉默,理查德·加德","喜剧,同性",英国,"2016-06-19(美国),2016-12-16(英国)",全部 6840 条,全部 21 条,https://movie.douban.com/subject/26700818/
9.4,丹尼尔·斯洛斯：X,丹尼尔·斯洛斯,,丹尼尔·斯洛斯,"喜剧,脱口秀",美国,2019-11-02(美国),全部 1111 条,全部 4 条,https://movie.douban.com/subject/34856004/
9.4,黄子华栋笃笑之洗燥,黄子华,,黄子华,脱口秀,中国香港,2012-10-04,全部 334 条,全部 3 条,https://movie.douban.com/subject/26582661/
9.4,鱼丁糸Follow Me线上演唱会,,,"鱼丁糸,吴青峰,刘家凯,何景扬,谢馨仪,龚钰祺,史俊威",音乐,中国台湾,2020-08-25(中国大陆),全部 205 条,全部 3 条,https://movie.douban.com/subject/35192211/
9.4,「既然青春留不住-還是做個大叔好」演唱會巡迴影音紀錄 LIVE,,,李宗盛,音乐,中国台湾,2016-11-18(中国台湾),全部 200 条,全部 1 条,https://movie.douban.com/subject/35064279/
9.4,第十二夜,Tim Carroll,,"塞缪尔·巴奈特,马克·里朗斯,斯蒂芬·弗雷,Liam Brennan,Paul Chahidi","剧情,喜剧",英国,,全部 989 条,全部 10 条,https://movie.douban.com/subject/26715548/
9.4,TME Live 吴青峰「16叶」线上演唱会,,,吴青峰,"音乐,真人秀",中国台湾 / 中国大陆,2020-12-20(中国大陆),全部 124 条,全部 1 条,https://movie.douban.com/subject/35288735/
9.4,GOT7的HardCarry,,,Got7,真人秀,韩国,2016-10-17,全部 573 条,全部 0 条,https://movie.douban.com/subject/26903883/
9.4,单向乐队：我们所到之处,Paul Dugdale,,"哈里·斯泰尔斯,尼奥·贺兰,赞恩·马里克,路易斯·汤姆林斯,利亚姆·佩恩",音乐,英国,2014-10-11(爱尔兰/美国),全部 238 条,全部 0 条,https://movie.douban.com/subject/25964082/
9.4,酷玩乐队：2014鬼故事演唱会,保罗·达格代尔,,"Coldplay,克里斯·马汀,盖伊·贝瑞曼,约翰·巴克兰德,威尔·查平","音乐,舞台艺术",英国,"2014-05-18(美国),2014-05-19(英国)",全部 131 条,全部 1 条,https://movie.douban.com/subject/25892102/
9.4,A Classic Tour 学友.经典世界巡回演唱会,,,张学友,音乐,中国香港,2016-10-26(中国香港),全部 124 条,全部 1 条,https://movie.douban.com/subject/33425520/
9.4,第五十一届超级碗,Dan Quinn,,"汤姆·布拉迪,Matt Ryan,Lady Gaga",运动,美国,2017-02-05(美国),全部 240 条,全部 1 条,https://movie.douban.com/subject/26961992/
