评分,片名,导演,编剧,主演,类型,制片国家/地区,上映日期,短评数,影评数,链接
9.3,排球少年剧场版：才能与感觉,满仲劝,,"村瀬步,石川界人,日野聪,入野自由,林勇,细谷佳正,冈本信彦,内山昂辉,齐藤壮马,浪川大辅",剧情,日本,2017-09-15(日本),全部 359 条,全部 0 条,https://movie.douban.com/subject/27144867/
9.3,西蒙·阿姆斯特尔：麻木,Tim Kirkby,,Simon Amstell,"喜剧,脱口秀",英国,2012-12-31,全部 702 条,全部 5 条,https://movie.douban.com/subject/24333957/
9.3,米兰达：我的欢乐庆典,,,"米兰达·哈特,莎莉·菲利普斯,萨拉·哈德兰,派翠西亚·霍吉,汤姆·艾利斯,亚当·雷纳 Adam Rayner,艾玛肯尼迪 Emma Kennedy,迈克尔·兰德斯 Michael Landes,娜奥米·本特利 Naomi Bentley,奈杰尔·哈弗斯 Nigel Havers,希瑟·斯摩 Heather Small,马伊姆·拜力克 Mayim Bialik",喜剧,英国,2020-01-01(英国),全部 460 条,全部 3 条,https://movie.douban.com/subject/34937094/
9.3,TME Live 「想你 张国荣」线上音乐会,,,"张国荣,许冠杰,张智霖,莫文蔚,李克勤,赵增熹,郑丹瑞",音乐,中国香港,2021-04-01(中国香港),全部 302 条,全部 1 条,https://movie.douban.com/subject/35420003/
9.3,天使在美国第一部：千禧年降临,玛丽安娜·埃利奥特,,"安德鲁·加菲尔德,内森·连恩,拉塞尔·托维,阿曼达·劳伦斯,丹妮斯·高夫,内森·斯图尔特-贾瑞特,马克·阿诺德,苏珊·布朗,詹姆斯·麦卡德尔,凯蒂·哈珀","剧情,同性",英国,2017-07-20(英国),全部 1043 条,全部 17 条,https://movie.douban.com/subject/27021257/
9.3,哈姆雷特,Robert Icke,,"安德鲁·斯科特,茱丽叶特·斯蒂文森,杰西卡·布朗·芬德利,安格斯·瑞特,大卫·瑞托,卢克·汤普森,彼得·怀特,巴里·艾尔德,洛娜·布朗",剧情,英国,2018-03-31(英国),全部 550 条,全部 10 条,https://movie.douban.com/subject/30191791/
9.3,皇家莎士比亚剧团：理查二世,格雷格里·多兰,,"大卫·田纳特,奈杰尔·林赛,肖恩·查普曼,艾玛·汉密尔顿,奥利弗·福德·戴维斯,Gracy Goldman,Michael Pennington,Marcus Griffiths,优素福·凯尔科尔,Oliver Rix,简·拉波特泰尔,Sam Marks,Jake Mann,Keith Osborn,Edmund Wiseman,Simon Thorp,Joshua Richards,Elliot Barnes-Worrell,Miranda Nolan,Antony Byrne,Marty Cruickshank,Jim Hooper",舞台艺术,英国,2013-10-13(英国),全部 338 条,全部 8 条,https://movie.douban.com/subject/25786190/
9.3,梅艳芳·10·思念·音乐·会,,,"张学友,曾志伟,张惠妹,林忆莲,成龙,袁咏仪,苏志威,蔡一智,蔡一杰,杜德伟,何韵诗,杨千嬅,苏永康,梁汉文,许志安,钟楚红,刘嘉玲,梁朝伟,林子祥,郑秀文,张曼玉,关锦鹏,陈奕迅,郭富城,刘德华,梅艳芳",音乐,中国香港,2013-12-30(中国香港),全部 54 条,全部 0 条,https://movie.douban.com/subject/35044539/
9.3,跳出我天地音乐剧,史蒂芬·戴德利,,"Elliott Hanna,鲁茜·亨肖,Deka Walmsley,Ann Emery,Chris Grahamson,利亚姆·莫威尔,霍华德·克罗斯利,Alan Mehdizadeh","剧情,喜剧,音乐",英国,2014-09-28,全部 393 条,全部 4 条,https://movie.douban.com/subject/26264388/
9.3,乐在当下,马修·沃楚斯,,安德鲁·斯科特,"剧情,喜剧,同性",英国,2019-06-24(英国),全部 656 条,全部 14 条,https://movie.douban.com/subject/33459937/
9.3,“黄河之水天上来”国宝音乐会,于蕾,,"张国立,黄河流域博物馆联盟,中央民族乐团,中国东方歌舞团,于魁智,莫华伦,宗次郎,赵聪,德格叶,索朗卓嘎,殷硕,孟庆旸,呼斯楞,金玥,丁晓逵,缪青,朱剑平,刘凯,果敢,哈拉木吉,魏育茹,古丽米娜·麦麦提","音乐,歌舞,历史,真人秀",中国大陆,2020-01-29(中国大陆),全部 189 条,全部 3 条,https://movie.douban.com/subject/34964209/
9.3,排球少年剧场版：观念之战,满仲劝,,"村瀬步,石川界人,日野聪,入野自由,林勇,细谷佳正,冈本信彦,内山昂辉,齐藤壮马,竹内良太,木村昴",剧情,日本,2017-09-29(日本),全部 323 条,全部 1 条,https://movie.douban.com/subject/27144868/
9.3,女王召见,史蒂芬·戴德利,,"海伦·米伦,保罗·里特,爱德华·福克斯,理查德·麦凯布,杰弗里·比弗斯,内尔·威廉姆斯,内森奈尔·帕克,迈克尔·埃尔文,海顿·格温,鲁弗斯·赖特,乔纳森·库提,夏洛特·穆尔",戏曲,英国,"2013-06-13(英国),2016-04(北京电影节)",全部 640 条,全部 10 条,https://movie.douban.com/subject/25717552/
